OBJECTID,JOIN_COUNT,TARGET_FID,HES_ZONE,CONTOURLEN,SHAPEAREA,SHAPELEN
1,1,2222,1,9075.48435203,120466.130107754,2265.49193457837
2,1,2311,99,7537.96801367,136964.346750965,2297.57718159026
3,1,2512,4,10387.7296856,112938.949605689,2635.62720392963
4,1,2534,3,34996.1964017,509387.350592436,8208.92023118986
5,1,2546,4,6250.46447386,50140.1422008984,1049.20173427714
6,1,2562,2,5351.91160672,39680.2006577227,947.187259712254
7,1,2597,99,36053.7907903,1766881.83813932,10196.8315153614
8,1,2621,2,15164.3622639,136716.311129402,2857.18897789356
9,1,2622,3,61678.2375398,1007724.24582974,15601.845520383
10,1,2629,4,9024.08333997,71230.6923698047,1560.55597712346
11,1,2657,3,23533.0346924,132896.856855176,5670.62620242011
12,1,2712,3,6831.1475036,42815.8905733203,1366.19480109991
13,1,5271,4,28568523.6978,4621247.38818556,127107.491931843
14,1,5271,4,28568523.6978,574818.428825113,20212.1231070662
15,1,5272,3,27780458.0136,2591184.61393089,108593.761517707
16,1,5273,2,27221791.7907,162015.996439371,11612.9572887021
17,1,5273,2,27221791.7907,2101259.47574832,111577.51706513
18,1,5274,1,15099290.6315,1932219.3665956,81767.8327976763
19,1,2440,2,8843.56778148,96184.6961476211,1615.74472369874
